id;name;price;photo;photo_content_type;units;type_unit;note;data_created;shopping_date;purchased;user_created
1;Open-architected Sav;19809;../fake-data/blob/hipster.png;image/png;43087;open-source;24/7;2022-03-16;2022-03-16;true;57321
2;Carolina metrics mor;80649;../fake-data/blob/hipster.png;image/png;920;Paradigm Corporate;static Sri UIC-Franc;2022-03-16;2022-03-16;false;37603
3;Berkshire Lari;7566;../fake-data/blob/hipster.png;image/png;57358;program;Tanzanian deposit Kentucky;2022-03-16;2022-03-16;true;65917
4;indexing Intuitive R;78226;../fake-data/blob/hipster.png;image/png;56445;Coordinator efficient Legacy;Solutions;2022-03-16;2022-03-17;false;29665
5;hacking;21495;../fake-data/blob/hipster.png;image/png;36200;convergence withdrawal calculate;SQL;2022-03-16;2022-03-17;true;60163
6;solutions Re-enginee;71992;../fake-data/blob/hipster.png;image/png;65873;Liaison intermediate Gardens;Generic;2022-03-17;2022-03-16;false;34338
7;invoice payment;62373;../fake-data/blob/hipster.png;image/png;21307;Product Metal foreground;Bedfordshire optical Taka;2022-03-16;2022-03-17;false;76635
8;time-frame Account;53390;../fake-data/blob/hipster.png;image/png;74501;action-items Cheese IB;Identity;2022-03-17;2022-03-16;true;39821
9;contextually-based S;72517;../fake-data/blob/hipster.png;image/png;93484;Pula USB;portals Sleek;2022-03-16;2022-03-16;true;36134
10;Tasty Industrial;29974;../fake-data/blob/hipster.png;image/png;90659;withdrawal Plastic Shoes;connect;2022-03-16;2022-03-16;false;21030
